...1,Start,End,taxa,SubjectID,timediff,Bodysite,name,sample_id1,sample_id2,dist,jaccard,asv_number
37,69-043-07,69-043-2023,Agathobacter,69-043,21,Stool,69-043-07_69-043-2023,69-043-2023,69-043-07,1,0,2
38,69-043-2025,69-043-09,Agathobacter,69-043,115,Stool,69-043-09_69-043-2025,69-043-09,69-043-2025,0.5675675675675675,0.5,2
39,69-043-8013,69-043-8024,Agathobacter,69-043,38,Stool,69-043-8013_69-043-8024,69-043-8013,69-043-8024,0.7111111111111111,0.5,4
40,69-058-04,69-058-09,Agathobacter,69-058,460,Stool,69-058-04_69-058-09,69-058-04,69-058-09,1,0,4
41,69-068-07,69-068-09,Agathobacter,69-068,222,Stool,69-068-07_69-068-09,69-068-07,69-068-09,0.8332264271969211,0.1111111111111111,9
42,69-034-01,69-034-06,Agathobacter,69-034,474,Stool,69-034-01_69-034-06,69-034-01,69-034-06,0.6094395280235988,0.2857142857142857,7
43,69-041-02,69-041-1014,Agathobacter,69-041,253,Stool,69-041-02_69-041-1014,69-041-02,69-041-1014,0.5752212389380531,0.3333333333333333,3
44,69-073-01,69-073-03,Agathobacter,69-073,154,Stool,69-073-01_69-073-03,69-073-01,69-073-03,1,0,2
45,69-085-01,69-085-07,Agathobacter,69-085,631,Stool,69-085-01_69-085-07,69-085-01,69-085-07,0.11678832116788321,0.3333333333333333,3
46,69-091-03,69-091-4014,Agathobacter,69-091,26,Stool,69-091-03_69-091-4014,69-091-03,69-091-4014,1,0,2
47,69-100-6015,69-100-6021,Agathobacter,69-100,130,Stool,69-100-6015_69-100-6021,69-100-6015,69-100-6021,0.5973154362416108,0.25,8
48,69-104-6013,69-104-6022,Agathobacter,69-104,167,Stool,69-104-6013_69-104-6022,69-104-6022,69-104-6013,0.9726027397260274,0.25,4
49,69-107-6034,69-107-6036,Agathobacter,69-107,10,Stool,69-107-6034_69-107-6036,69-107-6034,69-107-6036,0.0947075208913649,0.6666666666666666,3
50,69-080-01,69-080-04,Agathobacter,69-080,338,Stool,69-080-01_69-080-04,69-080-01,69-080-04,1,0,3
51,69-077-03,69-077-08,Agathobacter,69-077,539,Stool,69-077-03_69-077-08,69-077-08,69-077-03,1,0,3
52,69-121-01,69-121-04,Agathobacter,69-121,273,Stool,69-121-01_69-121-04,69-121-04,69-121-01,0.9392377094457742,0.07692307692307693,13
53,69-122-1013,69-122-02,Agathobacter,69-122,101,Stool,69-122-02_69-122-1013,69-122-1013,69-122-02,0.07400379506641366,0.6666666666666666,3
54,69-037-1012,69-037-2012,Prevotella,69-037,293,Stool,69-037-1012_69-037-2012,69-037-1012,69-037-2012,1,0,15
55,69-037-2012,69-037-1036,Prevotella,69-037,135,Stool,69-037-1036_69-037-2012,69-037-2012,69-037-1036,1,0,15
56,69-037-1036,69-037-12,Prevotella,69-037,397,Stool,69-037-1036_69-037-12,69-037-1036,69-037-12,1,0,2
57,70-1004-07,70-1004-13,Prevotella,70-1004,644,Stool,70-1004-07_70-1004-13,70-1004-07,70-1004-13,1,0,33
58,70-1005-1013,70-1005-12,Prevotella,70-1005,533,Stool,70-1005-1013_70-1005-12,70-1005-1013,70-1005-12,0.6990734699203968,0.26666666666666666,15
59,70-1005-12,70-1005-6014,Prevotella,70-1005,236,Stool,70-1005-12_70-1005-6014,70-1005-12,70-1005-6014,1,0,34
60,69-035-11,69-035-13,Prevotella,69-035,209,Stool,69-035-11_69-035-13,69-035-13,69-035-11,0.7158081705150977,0.4,5
61,70-1010-6011,70-1010-6022,Prevotella,70-1010,153,Stool,70-1010-6011_70-1010-6022,70-1010-6022,70-1010-6011,1,0,6
62,70-1010-6022,70-1010-6025,Prevotella,70-1010,17,Stool,70-1010-6022_70-1010-6025,70-1010-6022,70-1010-6025,0.9989484752891693,0.047619047619047616,21
63,70-1015-6015,70-1015-6022,Prevotella,70-1015,46,Stool,70-1015-6015_70-1015-6022,70-1015-6015,70-1015-6022,1,0,4
64,70-1015-6022,70-1015-6025,Prevotella,70-1015,17,Stool,70-1015-6022_70-1015-6025,70-1015-6022,70-1015-6025,1,0,3
65,70-1015-6026,70-1015-6034,Prevotella,70-1015,109,Stool,70-1015-6026_70-1015-6034,70-1015-6034,70-1015-6026,1,0,7
66,69-001-48,69-001-53,Prevotella,69-001,82,Stool,69-001-48_69-001-53,69-001-48,69-001-53,0.7692307692307693,1,1
67,69-001-53,69-001-64,Prevotella,69-001,254,Stool,69-001-53_69-001-64,69-001-53,69-001-64,0.25,1,1
68,69-001-64,69-001-80,Prevotella,69-001,328,Stool,69-001-64_69-001-80,69-001-64,69-001-80,0.5238095238095238,1,1
69,69-001-82,69-001-6013,Prevotella,69-001,66,Stool,69-001-6013_69-001-82,69-001-82,69-001-6013,0.8775510204081632,1,1
70,69-001-6013,69-001-86,Prevotella,69-001,106,Stool,69-001-6013_69-001-86,69-001-6013,69-001-86,0.8775510204081632,1,1
71,69-001-86,69-001-6033,Prevotella,69-001,27,Stool,69-001-6033_69-001-86,69-001-86,69-001-6033,1,0,3
72,69-001-6033,69-001-1022,Prevotella,69-001,66,Stool,69-001-1022_69-001-6033,69-001-6033,69-001-1022,0.8913043478260869,0.25,4
73,69-001-1022,69-001-4024,Prevotella,69-001,53,Stool,69-001-1022_69-001-4024,69-001-4024,69-001-1022,0.9540229885057471,0.3333333333333333,3
74,69-001-4025,69-001-7014,Prevotella,69-001,144,Stool,69-001-4025_69-001-7014,69-001-4025,69-001-7014,1,0,2
75,69-001-7014,69-001-7026,Prevotella,69-001,73,Stool,69-001-7014_69-001-7026,69-001-7014,69-001-7026,1,0,4
76,69-001-7028,69-001-7030,Prevotella,69-001,15,Stool,69-001-7028_69-001-7030,69-001-7028,69-001-7030,0.6666666666666666,1,1
77,69-001-7030,69-001-7036,Prevotella,69-001,42,Stool,69-001-7030_69-001-7036,69-001-7030,69-001-7036,0.6,1,1
78,69-001-7037,69-001-7043,Prevotella,69-001,128,Stool,69-001-7037_69-001-7043,69-001-7043,69-001-7037,1,0,2
79,69-063-6022,69-063-6035,Prevotella,69-063,73,Stool,69-063-6022_69-063-6035,69-063-6022,69-063-6035,1,0,2
80,69-053-2022,69-053-6032,Prevotella,69-053,412,Stool,69-053-2022_69-053-6032,69-053-2022,69-053-6032,1,0,2
81,69-068-02,69-068-05,Prevotella,69-068,303,Stool,69-068-02_69-068-05,69-068-02,69-068-05,1,0,2
82,69-064-6012,69-064-6026,Prevotella,69-064,109,Stool,69-064-6012_69-064-6026,69-064-6012,69-064-6026,1,0,3
83,69-026-01,69-026-03,Prevotella,69-026,182,Stool,69-026-01_69-026-03,69-026-01,69-026-03,1,0,2
84,69-026-03,69-026-4015,Prevotella,69-026,737,Stool,69-026-03_69-026-4015,69-026-03,69-026-4015,1,0,3
85,70-1014-03,69-028-4015,Prevotella,70-1014,354,Stool,69-028-4015_70-1014-03,70-1014-03,69-028-4015,0.5,1,1
86,69-028-4015,69-028-6022,Prevotella,70-1014,80,Stool,69-028-4015_69-028-6022,69-028-6022,69-028-4015,0.2,1,1
87,69-028-6022,69-028-6024,Prevotella,70-1014,14,Stool,69-028-6022_69-028-6024,69-028-6022,69-028-6024,0.25,1,1
88,69-028-6024,69-028-2023,Prevotella,70-1014,151,Stool,69-028-2023_69-028-6024,69-028-2023,69-028-6024,1,0,2
89,70-1001-2031,70-1001-2033,Prevotella,70-1001,5,Stool,70-1001-2031_70-1001-2033,70-1001-2031,70-1001-2033,0.6507470511140236,0.7142857142857143,28
90,70-1006-2014,70-1006-1014,Prevotella,70-1006,474,Stool,70-1006-1014_70-1006-2014,70-1006-2014,70-1006-1014,0.9984403431245126,0.058823529411764705,17
91,69-069-6033,69-069-6035,Prevotella,69-069,11,Stool,69-069-6033_69-069-6035,69-069-6033,69-069-6035,0.13133567102327065,1,4
92,69-087-01,69-087-04,Prevotella,69-087,400,Stool,69-087-01_69-087-04,69-087-01,69-087-04,0.9998319610149554,0.16666666666666666,6
93,69-091-04,69-091-06,Prevotella,69-091,206,Stool,69-091-04_69-091-06,69-091-04,69-091-06,0.32011640596580576,0.5238095238095238,21
94,69-100-01,69-100-6013,Prevotella,69-100,39,Stool,69-100-01_69-100-6013,69-100-01,69-100-6013,0.883495145631068,0.2,5
95,69-100-6024,69-100-6032,Prevotella,69-100,188,Stool,69-100-6024_69-100-6032,69-100-6024,69-100-6032,0.8863636363636364,0.25,4
96,70-1002-07,70-1002-2016,Prevotella,70-1002,644,Stool,70-1002-07_70-1002-2016,70-1002-2016,70-1002-07,1,0,2
97,69-123-6011,69-123-6016,Prevotella,69-123,35,Stool,69-123-6011_69-123-6016,69-123-6011,69-123-6016,1,0,13
98,69-023-6015,69-023-12,Unclassified_Alphaproteobacteria,69-023,655,Stool,69-023-12_69-023-6015,69-023-6015,69-023-12,1,0,3
99,70-1005-07,70-1005-12,Unclassified_Alphaproteobacteria,70-1005,484,Stool,70-1005-07_70-1005-12,70-1005-07,70-1005-12,1,0,2
100,70-1005-6013,70-1005-6015,Unclassified_Alphaproteobacteria,70-1005,10,Stool,70-1005-6013_70-1005-6015,70-1005-6013,70-1005-6015,0.9149440421329822,1,1
101,70-1008-2012,70-1008-2014,Unclassified_Alphaproteobacteria,70-1008,7,Stool,70-1008-2012_70-1008-2014,70-1008-2012,70-1008-2014,0.85,0.3333333333333333,3
102,69-032-2012,69-032-1013,Unclassified_Alphaproteobacteria,69-032,103,Stool,69-032-1013_69-032-2012,69-032-1013,69-032-2012,0.1891891891891892,1,1
103,70-1015-01,70-1015-04,Unclassified_Alphaproteobacteria,70-1015,254,Stool,70-1015-01_70-1015-04,70-1015-01,70-1015-04,0.978021978021978,1,1
104,70-1015-2013,70-1015-06,Unclassified_Alphaproteobacteria,70-1015,137,Stool,70-1015-06_70-1015-2013,70-1015-2013,70-1015-06,1,0,2
105,69-001-57,69-001-59,Unclassified_Alphaproteobacteria,69-001,60,Stool,69-001-57_69-001-59,69-001-57,69-001-59,0.5510204081632653,0.3333333333333333,3
106,69-001-7024,69-001-7027,Unclassified_Alphaproteobacteria,69-001,20,Stool,69-001-7024_69-001-7027,69-001-7024,69-001-7027,0.7096148517594901,0.25,4
107,69-063-1022,69-063-5011,Unclassified_Alphaproteobacteria,69-063,34,Stool,69-063-1022_69-063-5011,69-063-1022,69-063-5011,0.9177807486631016,1,1
108,69-063-6032,69-063-6034,Unclassified_Alphaproteobacteria,69-063,14,Stool,69-063-6032_69-063-6034,69-063-6034,69-063-6032,0.6997518610421837,1,1
109,69-063-6035,69-063-6042,Unclassified_Alphaproteobacteria,69-063,166,Stool,69-063-6035_69-063-6042,69-063-6035,69-063-6042,0.504,1,1
110,69-063-6042,69-063-09,Unclassified_Alphaproteobacteria,69-063,203,Stool,69-063-09_69-063-6042,69-063-6042,69-063-09,0.8848118903855086,1,1
111,69-053-4011,69-053-4013,Unclassified_Alphaproteobacteria,69-053,4,Stool,69-053-4011_69-053-4013,69-053-4011,69-053-4013,0.2,1,1
112,69-053-1014,69-053-2012,Unclassified_Alphaproteobacteria,69-053,43,Stool,69-053-1014_69-053-2012,69-053-1014,69-053-2012,0.17408906882591094,0.5,2
113,69-053-2015,69-053-1021,Unclassified_Alphaproteobacteria,69-053,169,Stool,69-053-1021_69-053-2015,69-053-2015,69-053-1021,0.4642857142857143,1,1
114,69-053-1034,69-053-6013,Unclassified_Alphaproteobacteria,69-053,32,Stool,69-053-1034_69-053-6013,69-053-1034,69-053-6013,0.12307692307692308,1,1
115,69-053-6016,69-053-2022,Unclassified_Alphaproteobacteria,69-053,47,Stool,69-053-2022_69-053-6016,69-053-2022,69-053-6016,1,0,2
116,69-053-2022,69-053-2025,Unclassified_Alphaproteobacteria,69-053,27,Stool,69-053-2022_69-053-2025,69-053-2022,69-053-2025,1,0,2
117,69-053-6025,69-053-6031,Unclassified_Alphaproteobacteria,69-053,243,Stool,69-053-6025_69-053-6031,69-053-6025,69-053-6031,0.8636363636363636,1,1
118,69-053-6032,69-053-6036,Unclassified_Alphaproteobacteria,69-053,27,Stool,69-053-6032_69-053-6036,69-053-6032,69-053-6036,0.9320388349514563,1,1
119,69-043-05,69-043-10,Unclassified_Alphaproteobacteria,69-043,439,Stool,69-043-05_69-043-10,69-043-05,69-043-10,0.26011560693641617,0.3333333333333333,3
120,69-046-02,69-046-2012,Unclassified_Alphaproteobacteria,69-046,153,Stool,69-046-02_69-046-2012,69-046-02,69-046-2012,0.4375,1,1
121,69-046-2013,69-046-04,Unclassified_Alphaproteobacteria,69-046,111,Stool,69-046-04_69-046-2013,69-046-04,69-046-2013,0.6081632653061224,1,1
122,69-046-04,69-046-07,Unclassified_Alphaproteobacteria,69-046,275,Stool,69-046-04_69-046-07,69-046-04,69-046-07,0.04950495049504951,1,1
123,69-012-06,69-012-11,Unclassified_Alphaproteobacteria,69-012,904,Stool,69-012-06_69-012-11,69-012-06,69-012-11,0.3898305084745763,1,1
124,69-026-03,69-026-07,Unclassified_Alphaproteobacteria,69-026,377,Stool,69-026-03_69-026-07,69-026-03,69-026-07,1,0,2
125,69-026-07,69-026-2034,Unclassified_Alphaproteobacteria,69-026,178,Stool,69-026-07_69-026-2034,69-026-07,69-026-2034,1,0,2
126,69-026-2034,69-026-4012,Unclassified_Alphaproteobacteria,69-026,150,Stool,69-026-2034_69-026-4012,69-026-2034,69-026-4012,1,0,2
127,69-026-4012,69-026-2043,Unclassified_Alphaproteobacteria,69-026,106,Stool,69-026-2043_69-026-4012,69-026-4012,69-026-2043,1,0,2
128,69-026-2043,69-026-11,Unclassified_Alphaproteobacteria,69-026,148,Stool,69-026-11_69-026-2043,69-026-2043,69-026-11,1,0,3
129,69-069-02,69-069-1014,Unclassified_Alphaproteobacteria,69-069,23,Stool,69-069-02_69-069-1014,69-069-1014,69-069-02,0.4980392156862745,1,1
130,69-069-1014,69-069-03,Unclassified_Alphaproteobacteria,69-069,36,Stool,69-069-03_69-069-1014,69-069-1014,69-069-03,0.4311111111111111,0.5,2
131,69-069-6011,69-069-6016,Unclassified_Alphaproteobacteria,69-069,31,Stool,69-069-6011_69-069-6016,69-069-6011,69-069-6016,0.7318611987381703,0.5,2
132,69-069-6035,69-069-07,Unclassified_Alphaproteobacteria,69-069,258,Stool,69-069-07_69-069-6035,69-069-6035,69-069-07,1,0,3
133,69-087-01,69-087-04,Unclassified_Alphaproteobacteria,69-087,400,Stool,69-087-01_69-087-04,69-087-01,69-087-04,0.6610169491525424,0.5,2
134,69-091-4014,69-091-05,Unclassified_Alphaproteobacteria,69-091,175,Stool,69-091-05_69-091-4014,69-091-05,69-091-4014,0.8380566801619433,1,1
135,69-097-02,69-097-05,Unclassified_Alphaproteobacteria,69-097,301,Stool,69-097-02_69-097-05,69-097-02,69-097-05,0.18518518518518517,1,1
136,69-100-01,69-100-6013,Unclassified_Alphaproteobacteria,69-100,39,Stool,69-100-01_69-100-6013,69-100-01,69-100-6013,0.5602836879432624,1,2
137,69-100-6021,69-100-6023,Unclassified_Alphaproteobacteria,69-100,14,Stool,69-100-6021_69-100-6023,69-100-6023,69-100-6021,1,0,3
138,69-100-6024,69-100-6032,Unclassified_Alphaproteobacteria,69-100,188,Stool,69-100-6024_69-100-6032,69-100-6024,69-100-6032,1,0,3
139,69-107-6012,69-107-6022,Unclassified_Alphaproteobacteria,69-107,120,Stool,69-107-6012_69-107-6022,69-107-6012,69-107-6022,0.375,1,1
140,69-107-6024,69-107-6032,Unclassified_Alphaproteobacteria,69-107,155,Stool,69-107-6024_69-107-6032,69-107-6032,69-107-6024,1,0,3
141,69-111-6013,69-111-6015,Unclassified_Alphaproteobacteria,69-111,10,Stool,69-111-6013_69-111-6015,69-111-6015,69-111-6013,0.76,1,1
142,69-111-6016,69-111-6025,Unclassified_Alphaproteobacteria,69-111,103,Stool,69-111-6016_69-111-6025,69-111-6016,69-111-6025,0.4375,1,1
143,69-045-06,69-045-09,Unclassified_Alphaproteobacteria,69-045,316,Stool,69-045-06_69-045-09,69-045-06,69-045-09,0.904,0.5,4
144,69-123-3011,69-123-3014,Unclassified_Alphaproteobacteria,69-123,24,Stool,69-123-3011_69-123-3014,69-123-3011,69-123-3014,0.2914653784219002,1,1
145,69-123-6013,69-123-6032,Unclassified_Alphaproteobacteria,69-123,123,Stool,69-123-6013_69-123-6032,69-123-6032,69-123-6013,0.8607751172549988,1,1
146,69-121-01,69-121-04,Unclassified_Alphaproteobacteria,69-121,273,Stool,69-121-01_69-121-04,69-121-04,69-121-01,1,0,2
147,69-122-1013,69-122-02,Unclassified_Alphaproteobacteria,69-122,101,Stool,69-122-02_69-122-1013,69-122-1013,69-122-02,0.49917627677100496,0.3333333333333333,3
148,69-023-1015,69-023-04,Ruminococcus,69-023,265,Stool,69-023-04_69-023-1015,69-023-1015,69-023-04,0.8627450980392157,0.6666666666666666,3
149,69-037-1012,69-037-1021,Ruminococcus,69-037,181,Stool,69-037-1012_69-037-1021,69-037-1012,69-037-1021,1,0,2
150,70-1005-14,70-1005-6014,Ruminococcus,70-1005,96,Stool,70-1005-14_70-1005-6014,70-1005-6014,70-1005-14,1,0,3
151,70-1005-6014,70-1005-6034,Ruminococcus,70-1005,188,Stool,70-1005-6014_70-1005-6034,70-1005-6014,70-1005-6034,1,0,3
152,69-027-04,69-027-09,Ruminococcus,69-027,455,Stool,69-027-04_69-027-09,69-027-04,69-027-09,1,0,2
153,69-032-1022,69-032-1032,Ruminococcus,69-032,134,Stool,69-032-1022_69-032-1032,69-032-1022,69-032-1032,0.6844783715012722,0.6666666666666666,3
154,70-1010-2015,70-1010-6012,Ruminococcus,70-1010,165,Stool,70-1010-2015_70-1010-6012,70-1010-6012,70-1010-2015,0.2625250501002004,0.6,5
155,70-1015-04,70-1015-06,Ruminococcus,70-1015,233,Stool,70-1015-04_70-1015-06,70-1015-04,70-1015-06,1,0,3
156,70-1015-6011,70-1015-6034,Ruminococcus,70-1015,203,Stool,70-1015-6011_70-1015-6034,70-1015-6034,70-1015-6011,1,0,7
157,69-001-57,69-001-59,Ruminococcus,69-001,60,Stool,69-001-57_69-001-59,69-001-57,69-001-59,0.7003841229193342,1,3
158,69-001-6027,69-001-6031,Ruminococcus,69-001,36,Stool,69-001-6027_69-001-6031,69-001-6027,69-001-6031,0.3333333333333333,1,2
159,69-001-6037,69-001-1021,Ruminococcus,69-001,35,Stool,69-001-1021_69-001-6037,69-001-6037,69-001-1021,0.6078431372549019,0.5,2
160,69-001-1023,69-001-4024,Ruminococcus,69-001,41,Stool,69-001-1023_69-001-4024,69-001-4024,69-001-1023,1,0,3
161,69-063-6025,69-063-6027,Ruminococcus,69-063,18,Stool,69-063-6025_69-063-6027,69-063-6025,69-063-6027,0.4564102564102564,0.6666666666666666,3
162,69-010-02,69-010-1021,Ruminococcus,69-010,589,Stool,69-010-02_69-010-1021,69-010-1021,69-010-02,1,0,4
163,69-053-4011,69-053-4013,Ruminococcus,69-053,4,Stool,69-053-4011_69-053-4013,69-053-4011,69-053-4013,0.18895599654874892,0.6,5
164,69-043-2012,69-043-05,Ruminococcus,69-043,121,Stool,69-043-05_69-043-2012,69-043-2012,69-043-05,1,0,3
165,69-043-2025,69-043-09,Ruminococcus,69-043,115,Stool,69-043-09_69-043-2025,69-043-09,69-043-2025,1,0,2
166,69-046-05,69-046-09,Ruminococcus,69-046,366,Stool,69-046-05_69-046-09,69-046-05,69-046-09,1,0,2
167,69-058-03,69-058-06,Ruminococcus,69-058,366,Stool,69-058-03_69-058-06,69-058-03,69-058-06,1,0,3
168,69-060-03,69-060-05,Ruminococcus,69-060,174,Stool,69-060-03_69-060-05,69-060-03,69-060-05,0.9396092362344582,0.5,2
169,69-026-02,69-026-07,Ruminococcus,69-026,468,Stool,69-026-02_69-026-07,69-026-02,69-026-07,1,0,2
170,69-034-01,69-034-06,Ruminococcus,69-034,474,Stool,69-034-01_69-034-06,69-034-01,69-034-06,1,0,9
171,70-1001-15,70-1001-2032,Ruminococcus,70-1001,171,Stool,70-1001-15_70-1001-2032,70-1001-15,70-1001-2032,0.8411097099621689,0.16666666666666666,6
172,69-069-1012,69-069-6032,Ruminococcus,69-069,346,Stool,69-069-1012_69-069-6032,69-069-6032,69-069-1012,0.6150234741784038,0.16666666666666666,6
173,69-085-01,69-085-1011,Ruminococcus,69-085,239,Stool,69-085-01_69-085-1011,69-085-01,69-085-1011,1,0,2
174,69-085-1011,69-085-1015,Ruminococcus,69-085,19,Stool,69-085-1011_69-085-1015,69-085-1011,69-085-1015,1,0,5
175,69-087-01,69-087-04,Ruminococcus,69-087,400,Stool,69-087-01_69-087-04,69-087-01,69-087-04,1,0,4
176,69-104-6015,69-104-6022,Ruminococcus,69-104,158,Stool,69-104-6015_69-104-6022,69-104-6022,69-104-6015,1,0,3
177,69-111-01,69-111-6013,Ruminococcus,69-111,32,Stool,69-111-01_69-111-6013,69-111-01,69-111-6013,1,0,4
178,69-111-6016,69-111-6022,Ruminococcus,69-111,86,Stool,69-111-6016_69-111-6022,69-111-6016,69-111-6022,0.2742616033755274,0.5,2
179,69-111-6022,69-111-6024,Ruminococcus,69-111,14,Stool,69-111-6022_69-111-6024,69-111-6024,69-111-6022,1,0,3
180,70-1002-09,70-1002-11,Ruminococcus,70-1002,217,Stool,70-1002-09_70-1002-11,70-1002-11,70-1002-09,0.9323824617010037,0.16666666666666666,6
181,69-090-05,69-090-1014,Ruminococcus,69-090,76,Stool,69-090-05_69-090-1014,69-090-05,69-090-1014,0.9821428571428571,0.3333333333333333,3
182,69-052-01,69-052-04,Ruminococcus,69-052,313,Stool,69-052-01_69-052-04,69-052-01,69-052-04,0.5783132530120482,0.3333333333333333,3
183,69-079-1014,69-079-05,Ruminococcus,69-079,438,Stool,69-079-05_69-079-1014,69-079-1014,69-079-05,1,0,3
184,69-123-3011,69-123-3014,Ruminococcus,69-123,24,Stool,69-123-3011_69-123-3014,69-123-3011,69-123-3014,0.4666666666666667,1,1
185,69-123-6016,69-123-6033,Ruminococcus,69-123,109,Stool,69-123-6016_69-123-6033,69-123-6033,69-123-6016,1,0,5
186,69-122-1013,69-122-02,Ruminococcus,69-122,101,Stool,69-122-02_69-122-1013,69-122-1013,69-122-02,0.5660621761658031,0.75,4
187,69-023-03,69-023-6011,Clostridium_IV,69-023,246,Stool,69-023-03_69-023-6011,69-023-03,69-023-6011,0.7209302325581395,0.5,2
188,69-023-6021,69-023-6023,Clostridium_IV,69-023,14,Stool,69-023-6021_69-023-6023,69-023-6023,69-023-6021,1,0,2
189,69-023-6023,69-023-6025,Clostridium_IV,69-023,11,Stool,69-023-6023_69-023-6025,69-023-6023,69-023-6025,0.6,1,1
